Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.753,23.919,0.493,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,24.474,23.919,0.493,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.531,23.919,0.493,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.094,27.808,0.372,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.387,27.808,0.372,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.943,27.808,0.372,2000,2000,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,33.024,32.513,0.445,200,200,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.309,32.513,0.445,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.207,32.513,0.445,200,200,
10,A10,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.297,36.706,0.836,20,20,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,36.115,36.706,0.836,20,20,
14,B2,FALSE,WH001_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.724,29.404,0.452,831.485,1000.916,239.611
15,B3,FALSE,WH001_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.085,29.404,0.452,1170.347,1000.916,239.611
16,B4,FALSE,WH002_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.464,31.725,0.381,327.968,288.969,55.229
17,B5,FALSE,WH002_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.162,31.725,0.381,225.772,288.969,55.229
18,B6,FALSE,WH002_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.55,31.725,0.381,313.168,288.969,55.229
20,B8,FALSE,WH003_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.058,29.199,0.2,1187.559,1104.23,117.845
21,B9,FALSE,WH003_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.34,29.199,0.2,1020.902,1104.23,117.845
22,B10,FALSE,WH004_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.539,30.447,0.195,537.642,566.892,60.57
23,B11,FALSE,WH004_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.578,30.447,0.195,526.499,566.892,60.57
24,B12,FALSE,WH004_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.224,30.447,0.195,636.536,566.892,60.57
25,C1,FALSE,WH005_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.399,27.165,0.331,2883.255,3292.68,579.014
27,C3,FALSE,WH005_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.932,27.165,0.331,3702.105,3292.68,579.014
28,C4,FALSE,WH007_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.869,28.848,0.033,1313.825,1328.739,23.443
29,C5,FALSE,WH007_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.865,28.848,0.033,1316.632,1328.739,23.443
30,C6,FALSE,WH007_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.81,28.848,0.033,1355.76,1328.739,23.443
31,C7,FALSE,WH008_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.444,29.624,0.158,965.866,879.515,75.6
32,C8,FALSE,WH008_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.738,29.624,0.158,825.246,879.515,75.6
33,C9,FALSE,WH008_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.689,29.624,0.158,847.434,879.515,75.6
34,C10,FALSE,WH009_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.113,30.42,0.435,675.478,580.795,133.901
35,C11,FALSE,WH009_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.728,30.42,0.435,486.113,580.795,133.901
37,D1,FALSE,WH011_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.252,31.348,0.136,367.211,349.291,25.342
38,D2,FALSE,WH011_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.444,31.348,0.136,331.371,349.291,25.342
40,D4,FALSE,WH012_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.384,30.356,0.114,584.248,593.612,36.397
41,D5,FALSE,WH012_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.232,30.356,0.114,633.776,593.612,36.397
42,D6,FALSE,WH012_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.454,30.356,0.114,562.812,593.612,36.397
43,D7,FALSE,WH013_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.532,30.902,0.524,539.756,451.515,124.792
44,D8,FALSE,WH013_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.272,30.902,0.524,363.274,451.515,124.792
46,D10,FALSE,WH014_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.1,29.838,0.23,679.871,786.311,93.578
47,D11,FALSE,WH014_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.671,29.838,0.23,855.646,786.311,93.578
48,D12,FALSE,WH014_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.742,29.838,0.23,823.417,786.311,93.578
49,E1,FALSE,WH015_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.977,29.137,0.226,1239.933,1142.372,137.972
50,E2,FALSE,WH015_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.297,29.137,0.226,1044.811,1142.372,137.972
52,E4,FALSE,WH016_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.978,30.074,0.175,726.021,691.503,63.006
53,E5,FALSE,WH016_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.968,30.074,0.175,729.707,691.503,63.006
54,E6,FALSE,WH016_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.277,30.074,0.175,618.782,691.503,63.006
55,E7,FALSE,WH017_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.576,32.564,0.143,180.888,182.437,14.025
56,E8,FALSE,WH017_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.7,32.564,0.143,169.251,182.437,14.025
57,E9,FALSE,WH017_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.415,32.564,0.143,197.172,182.437,14.025
58,E10,FALSE,WH018_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.12,30.084,0.335,672.65,693.135,125.385
59,E11,FALSE,WH018_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.733,30.084,0.335,827.501,693.135,125.385
60,E12,FALSE,WH018_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.4,30.084,0.335,579.253,693.135,125.385
61,F1,FALSE,WH019_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.347,29.911,0.403,596.045,764.035,158.798
62,F2,FALSE,WH019_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.552,29.911,0.403,911.68,764.035,158.798
63,F3,FALSE,WH019_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.833,29.911,0.403,784.382,764.035,158.798
64,F4,FALSE,WH020_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.386,29.784,0.404,996.458,817.902,174.806
65,F5,FALSE,WH020_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.193,29.784,0.404,647.103,817.902,174.806
66,F6,FALSE,WH020_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.773,29.784,0.404,810.144,817.902,174.806
67,F7,FALSE,WH022_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.786,27.751,0.192,2343.993,2396.835,249.411
68,F8,FALSE,WH022_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.544,27.751,0.192,2668.432,2396.835,249.411
69,F9,FALSE,WH022_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.923,27.751,0.192,2178.079,2396.835,249.411
70,F10,FALSE,WH023_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.205,29.224,0.387,1097.333,1102.186,225.149
71,F11,FALSE,WH023_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.619,29.224,0.387,879.502,1102.186,225.149
72,F12,FALSE,WH023_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.846,29.224,0.387,1329.721,1102.186,225.149
73,G1,FALSE,WH041_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.932,36.674,0.364,17.606,20.399,3.95
74,G2,FALSE,WH041_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.417,36.674,0.364,23.192,20.399,3.95
77,G5,FALSE,WH042_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.962,33.204,0.343,147.187,130.38,23.768
78,G6,FALSE,WH042_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.446,33.204,0.343,113.574,130.38,23.768
79,G7,FALSE,WH043_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.774,29.249,0.471,1382.249,1094.796,274.437
80,G8,FALSE,WH043_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.715,29.249,0.471,835.555,1094.796,274.437
81,G9,FALSE,WH043_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.258,29.249,0.471,1066.584,1094.796,274.437
82,G10,FALSE,WH044_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.739,29.546,0.21,824.973,918.551,104.441
83,G11,FALSE,WH044_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.322,29.546,0.21,1031.222,918.551,104.441
84,G12,FALSE,WH044_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.577,29.546,0.21,899.458,918.551,104.441
85,H1,FALSE,WH045_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.238,25.539,0.349,9157.588,7884.28,1418.516
86,H2,FALSE,WH045_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.921,25.539,0.349,6355.323,7884.28,1418.516
87,H3,FALSE,WH045_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.458,25.539,0.349,8139.929,7884.28,1418.516
88,H4,FALSE,WH046_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.706,32.743,0.267,168.769,166.566,23.374
89,H5,FALSE,WH046_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.496,32.743,0.267,188.76,166.566,23.374
90,H6,FALSE,WH046_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.027,32.743,0.267,142.169,166.566,23.374
91,H7,FALSE,WH047_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.29,30.234,0.397,614.43,642.549,138.678
92,H8,FALSE,WH047_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.812,30.234,0.397,793.132,642.549,138.678
93,H9,FALSE,WH047_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.601,30.234,0.397,520.086,642.549,138.678
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
