Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,24.373,24.531,0.469,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.059,24.531,0.469,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,24.162,24.531,0.469,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.416,28.582,0.193,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.537,28.582,0.193,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.794,28.582,0.193,2000,2000,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.27,32.443,0.244,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.615,32.443,0.244,200,200,
10,A10,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.82,37.695,0.177,20,20,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.57,37.695,0.177,20,20,
14,B2,FALSE,WH088_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.451,30.706,0.361,772.125,680.118,130.118
15,B3,FALSE,WH088_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.96,30.706,0.361,588.111,680.118,130.118
16,B4,FALSE,WH089_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.615,29.751,0.467,1206.156,1144.262,269.078
17,B5,FALSE,WH089_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.271,29.751,0.467,849.631,1144.262,269.078
18,B6,FALSE,WH089_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.367,29.751,0.467,1377.001,1144.262,269.078
19,B7,FALSE,WH090_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.595,28.38,0.265,2078.946,2348.297,341.318
20,B8,FALSE,WH090_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.084,28.38,0.265,2732.142,2348.297,341.318
21,B9,FALSE,WH090_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.461,28.38,0.265,2233.802,2348.297,341.318
22,B10,FALSE,WH091_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.24,34.684,0.452,102.078,82.103,19.56
23,B11,FALSE,WH091_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.145,34.684,0.452,62.987,82.103,19.56
24,B12,FALSE,WH091_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.668,34.684,0.452,81.243,82.103,19.56
26,C2,FALSE,WH092_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.459,30.376,0.117,768.822,804.231,50.076
27,C3,FALSE,WH092_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.294,30.376,0.117,839.64,804.231,50.076
28,C4,FALSE,WH093_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.035,31.386,0.342,565.087,473.81,86.713
29,C5,FALSE,WH093_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.718,31.386,0.342,392.527,473.81,86.713
30,C6,FALSE,WH093_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.405,31.386,0.342,463.817,473.81,86.713
32,C8,FALSE,WH094_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.996,36.28,0.402,39.994,34.758,7.404
33,C9,FALSE,WH094_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.564,36.28,0.402,29.523,34.758,7.404
35,C11,FALSE,WH095_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.896,32.967,0.101,209.304,201.593,10.905
36,C12,FALSE,WH095_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.039,32.967,0.101,193.881,201.593,10.905
37,D1,FALSE,WH096_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.492,32.149,0.485,259.655,317.13,81.282
39,D3,FALSE,WH096_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.805,32.149,0.485,374.605,317.13,81.282
41,D5,FALSE,WH097_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,39.787,39.836,0.069,5.282,5.148,0.189
42,D6,FALSE,WH097_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,39.885,39.836,0.069,5.014,5.148,0.189
43,D7,FALSE,WH098_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.91,30.969,0.248,604.017,588.827,75.991
44,D8,FALSE,WH098_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.756,30.969,0.248,656.075,588.827,75.991
45,D9,FALSE,WH098_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.241,30.969,0.248,506.388,588.827,75.991
46,D10,FALSE,WH099_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.978,32.889,0.175,200.332,210.647,20.112
47,D11,FALSE,WH099_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.002,32.889,0.175,197.786,210.647,20.112
48,D12,FALSE,WH099_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.688,32.889,0.175,233.825,210.647,20.112
49,E1,FALSE,WH101_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.965,30.609,0.322,586.781,716.315,118.75
50,E2,FALSE,WH101_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.525,30.609,0.322,742.132,716.315,118.75
51,E3,FALSE,WH101_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.338,30.609,0.322,820.032,716.315,118.75
52,E4,FALSE,WH102_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.776,34.188,0.437,130.807,106.85,24.302
53,E5,FALSE,WH102_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.646,34.188,0.437,82.217,106.85,24.302
54,E6,FALSE,WH102_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.143,34.188,0.437,107.524,106.85,24.302
55,E7,FALSE,WH103_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.075,32.588,0.422,190.207,250.621,52.386
56,E8,FALSE,WH103_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.363,32.588,0.422,278.197,250.621,52.386
