Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.041,23.235,0.273,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.428,23.235,0.273,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.253,27.38,0.155,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.553,27.38,0.155,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.336,27.38,0.155,2000,2000,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.671,31.591,0.313,200,200,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.245,31.591,0.313,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.856,31.591,0.313,200,200,
10,A10,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,36.181,36.411,0.325,20,20,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,36.641,36.411,0.325,20,20,
14,B2,FALSE,WH026_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.15,26.08,0.1,3943.712,4095.666,214.895
15,B3,FALSE,WH026_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.009,26.08,0.1,4247.62,4095.666,214.895
17,B5,FALSE,WH027_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.63,27.714,0.118,1806.592,1730.257,107.953
18,B6,FALSE,WH027_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.798,27.714,0.118,1653.922,1730.257,107.953
19,B7,FALSE,WH029_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.95,29.802,0.49,531.72,588.247,158.528
20,B8,FALSE,WH029_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.254,29.802,0.49,767.29,588.247,158.528
21,B9,FALSE,WH029_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.201,29.802,0.49,465.731,588.247,158.528
22,B10,FALSE,WH030_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.129,28.336,0.292,1388.754,1252.805,192.261
24,B12,FALSE,WH030_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.542,28.336,0.292,1116.855,1252.805,192.261
25,C1,FALSE,WH031_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.397,26.478,0.099,3461.518,3319.535,171.877
