Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
26,C2,FALSE,WH031_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.589,26.478,0.099,3128.45,3319.535,171.877
27,C3,FALSE,WH031_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.449,26.478,0.099,3368.638,3319.535,171.877
28,C4,FALSE,WH032_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.24,26.227,0.054,3761.899,3788.133,107.86
29,C5,FALSE,WH032_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.168,26.227,0.054,3906.69,3788.133,107.86
30,C6,FALSE,WH032_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.273,26.227,0.054,3695.809,3788.133,107.86
31,C7,FALSE,WH033_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.206,33.417,0.299,95.487,85.948,13.491
32,C8,FALSE,WH033_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.628,33.417,0.299,76.408,85.948,13.491
34,C10,FALSE,WH034_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.693,25.792,0.218,5019.777,4784.986,531.784
35,C11,FALSE,WH034_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.641,25.792,0.218,5158.966,4784.986,531.784
36,C12,FALSE,WH034_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.041,25.792,0.218,4176.217,4784.986,531.784
37,D1,FALSE,WH035_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.948,30.217,0.249,532.281,464.492,62.025
38,D2,FALSE,WH035_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.263,30.217,0.249,450.613,464.492,62.025
39,D3,FALSE,WH035_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.44,30.217,0.249,410.583,464.492,62.025
40,D4,FALSE,WH036_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.549,25.625,0.386,5413.415,5272.455,1037.12
41,D5,FALSE,WH036_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.282,25.625,0.386,6231.885,5272.455,1037.12
42,D6,FALSE,WH036_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.043,25.625,0.386,4172.064,5272.455,1037.12
43,D7,FALSE,WH038_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.52,27.167,0.452,1914.789,2352.812,586.081
44,D8,FALSE,WH038_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.323,27.167,0.452,2125.063,2352.812,586.081
45,D9,FALSE,WH038_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.657,27.167,0.452,3018.582,2352.812,586.081
46,D10,FALSE,WH040_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.814,27.113,0.423,2778.671,2403.05,531.209
47,D11,FALSE,WH040_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.412,27.113,0.423,2027.428,2403.05,531.209
49,E1,FALSE,WH041_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.699,25.019,0.452,8476.301,7262.733,1716.244
50,E2,FALSE,WH041_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.339,25.019,0.452,6049.165,7262.733,1716.244
52,E4,FALSE,WH042_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.574,25.045,0.462,5343.201,7198.988,1624.805
53,E5,FALSE,WH042_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.836,25.045,0.462,7888.069,7198.988,1624.805
54,E6,FALSE,WH042_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.724,25.045,0.462,8365.695,7198.988,1624.805
55,E7,FALSE,WH043_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.713,28.021,0.436,1729.312,1489.446,339.223
57,E9,FALSE,WH043_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.329,28.021,0.436,1249.579,1489.446,339.223
58,E10,FALSE,WH044_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.964,29.117,0.437,894.368,839.101,181.649
59,E11,FALSE,WH044_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.777,29.117,0.437,986.697,839.101,181.649
60,E12,FALSE,WH044_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.609,29.117,0.437,636.238,839.101,181.649
62,F2,FALSE,WH045_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.046,27.562,0.73,2458.468,1942.422,729.798
63,F3,FALSE,WH045_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.078,27.562,0.73,1426.377,1942.422,729.798
64,F4,FALSE,WH046_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,46.711,47.012,0.426,0.077,0.067,0.015
66,F6,FALSE,WH046_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,47.314,47.012,0.426,0.056,0.067,0.015
68,F8,FALSE,WH048_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.216,28.601,0.545,1326.79,1105.295,313.241
69,F9,FALSE,WH048_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.986,28.601,0.545,883.8,1105.295,313.241
71,F11,FALSE,WH049_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.167,29.173,0.008,803.367,801.039,3.293
72,F12,FALSE,WH049_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.178,29.173,0.008,798.711,801.039,3.293
73,G1,FALSE,WH050_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,45.24,45.119,0.172,0.167,0.179,0.016
75,G3,FALSE,WH050_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,44.997,45.119,0.172,0.19,0.179,0.016
76,G4,FALSE,WH051_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.107,28.467,0.339,1404.856,1174.603,212.662
77,G5,FALSE,WH051_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.779,28.467,0.339,985.567,1174.603,212.662
78,G6,FALSE,WH051_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.514,28.467,0.339,1133.385,1174.603,212.662
79,G7,FALSE,WH054_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.199,27.178,0.428,2268.621,2333.079,527.969
80,G8,FALSE,WH054_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.739,27.178,0.428,2890.319,2333.079,527.969
81,G9,FALSE,WH054_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.595,27.178,0.428,1840.299,2333.079,527.969
83,G11,FALSE,WH057_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.49,29.607,0.166,677.723,638.206,55.885
84,G12,FALSE,WH057_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.725,29.607,0.166,598.69,638.206,55.885
85,H1,FALSE,WH060_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.136,28.827,0.333,816.655,971.223,172.492
86,H2,FALSE,WH060_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.87,28.827,0.333,939.719,971.223,172.492
87,H3,FALSE,WH060_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.475,28.827,0.333,1157.297,971.223,172.492
88,H4,FALSE,WH061_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.402,32.307,0.317,145.852,154.833,26.624
89,H5,FALSE,WH061_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.954,32.307,0.317,184.787,154.833,26.624
90,H6,FALSE,WH061_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.565,32.307,0.317,133.861,154.833,26.624
91,H7,FALSE,WH062_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.471,27.491,0.287,1965.196,1959.694,293.313
92,H8,FALSE,WH062_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.787,27.491,0.287,1663.668,1959.694,293.313
93,H9,FALSE,WH062_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.214,27.491,0.287,2250.217,1959.694,293.313
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
