Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.073,24.955,0.167,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,24.837,24.955,0.167,20000,20000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.986,28.166,0.254,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.346,28.166,0.254,2000,2000,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,34.205,33.831,0.528,200,200,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,33.458,33.831,0.528,200,200,
11,A11,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.054,36.841,0.3,20,20,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,36.629,36.841,0.3,20,20,
14,B2,FALSE,WH056_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.729,29.963,0.331,1247.643,1104.483,202.459
15,B3,FALSE,WH056_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.197,29.963,0.331,961.323,1104.483,202.459
17,B5,FALSE,WH058_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.806,31.842,0.051,392.136,384.428,10.901
18,B6,FALSE,WH058_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.878,31.842,0.051,376.72,384.428,10.901
19,B7,FALSE,WH059_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.069,31.643,0.391,338.687,436.159,91.288
20,B8,FALSE,WH059_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.559,31.643,0.391,450.137,436.159,91.288
21,B9,FALSE,WH059_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.301,31.643,0.391,519.651,436.159,91.288
23,B11,FALSE,WH075_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.296,31.868,0.606,298.449,389.844,129.252
24,B12,FALSE,WH075_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.439,31.868,0.606,481.239,389.844,129.252
25,C1,FALSE,WH095_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.873,32.181,0.483,377.851,325.674,80.067
26,C2,FALSE,WH095_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.737,32.181,0.483,233.488,325.674,80.067
27,C3,FALSE,WH095_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.932,32.181,0.483,365.682,325.674,80.067
28,C4,FALSE,WH096_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.378,32.53,0.175,285.172,262.881,25.249
29,C5,FALSE,WH096_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.489,32.53,0.175,268.011,262.881,25.249
30,C6,FALSE,WH096_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.722,32.53,0.175,235.461,262.881,25.249
31,C7,FALSE,WH097_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.682,34.362,0.277,78.978,95.122,13.997
32,C8,FALSE,WH097_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.191,34.362,0.277,103.86,95.122,13.997
33,C9,FALSE,WH097_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.214,34.362,0.277,102.527,95.122,13.997
34,C10,FALSE,WH098_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.377,31.602,0.216,498.064,441.529,53.375
35,C11,FALSE,WH098_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.622,31.602,0.216,434.514,441.529,53.375
36,C12,FALSE,WH098_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.807,31.602,0.216,392.007,441.529,53.375
38,D2,FALSE,WH099_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.116,32.05,0.094,330.017,342.666,17.889
39,D3,FALSE,WH099_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.983,32.05,0.094,355.316,342.666,17.889
40,D4,FALSE,WH101_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.62,30.814,0.251,759.428,685.983,92.652
41,D5,FALSE,WH101_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.098,30.814,0.251,581.89,685.983,92.652
42,D6,FALSE,WH101_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.724,30.814,0.251,716.631,685.983,92.652
