Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.577,23.558,0.027,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.539,23.558,0.027,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.956,27.094,0.417,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.764,27.094,0.417,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,27.563,27.094,0.417,2000,2000,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.76,31.581,0.195,200,200,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.608,31.581,0.195,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.374,31.581,0.195,200,200,
10,A10,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,36.857,36.213,0.911,20,20,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,35.569,36.213,0.911,20,20,
58,E10,FALSE,WH056_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.675,35.727,0.074,23.107,22.47,0.9
59,E11,FALSE,WH056_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.779,35.727,0.074,21.834,22.47,0.9
61,F1,FALSE,WH076_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.047,29.087,0.057,833.558,815.637,25.344
63,F3,FALSE,WH076_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.128,29.087,0.057,797.716,815.637,25.344
64,F4,FALSE,WH077_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.166,25.491,0.431,6801.584,5806.201,1267.568
65,F5,FALSE,WH077_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.98,25.491,0.431,4379.187,5806.201,1267.568
66,F6,FALSE,WH077_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.326,25.491,0.431,6237.83,5806.201,1267.568
67,F7,FALSE,WH078_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.12,28.388,0.378,1375.681,1202.809,244.478
69,F9,FALSE,WH078_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.655,28.388,0.378,1029.936,1202.809,244.478
71,F11,FALSE,WH079_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.357,28.679,0.455,1210.331,1032.429,251.592
72,F12,FALSE,WH079_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.001,28.679,0.455,854.527,1032.429,251.592
73,G1,FALSE,WH080_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.67,26.698,0.102,3014.735,2971.982,162.421
74,G2,FALSE,WH080_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.613,26.698,0.102,3108.75,2971.982,162.421
75,G3,FALSE,WH080_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.812,26.698,0.102,2792.46,2971.982,162.421
76,G4,FALSE,WH082_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.599,24.689,0.282,9244.308,8870.645,1304.726
77,G5,FALSE,WH082_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.463,24.689,0.282,9947.772,8870.645,1304.726
78,G6,FALSE,WH082_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.005,24.689,0.282,7419.854,8870.645,1304.726
79,G7,FALSE,WH083_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.252,29.578,0.317,745.68,631.381,108.736
80,G8,FALSE,WH083_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.596,29.578,0.317,619.235,631.381,108.736
81,G9,FALSE,WH083_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.886,29.578,0.317,529.228,631.381,108.736
82,G10,FALSE,WH084_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.721,33.02,0.423,114.177,98.4,22.313
84,G12,FALSE,WH084_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.319,33.02,0.423,82.622,98.4,22.313
85,H1,FALSE,WH085_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.195,27.47,0.389,2269.282,1977.542,412.583
87,H3,FALSE,WH085_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.745,27.47,0.389,1685.801,1977.542,412.583
88,H4,FALSE,WH086_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.837,28.541,0.393,933.831,1113.08,246.796
89,H5,FALSE,WH086_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.095,28.541,0.393,1394.566,1113.08,246.796
90,H6,FALSE,WH086_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.69,28.541,0.393,1010.843,1113.08,246.796
91,H7,FALSE,WH087_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.379,27.759,0.537,2054.279,1708.385,489.168
93,H9,FALSE,WH087_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.138,27.759,0.537,1362.491,1708.385,489.168
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,48.852,48.852,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,48.852,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,48.852,,,,
