ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
A006,A002,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A007,A003,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A008,A004,Outdoor,11/01/2023,08/02/2023,2,Outdoor,Panel 1,PLATE2,Winter
A009,A001,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A010,A002,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A011,A003,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A012,A004,Outdoor,27/02/2023,29/03/2023,3,Outdoor,Panel 1,PLATE2,Spring
A013,A001,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A014,A002,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A015,A003,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A016,A004,Outdoor,29/03/2023,28/04/2023,,Outdoor,Panel 1,PLATE2,Spring
A017,A001,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A018,A002,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A019,A003,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,,Summer
A020,A004,Outdoor,31/05/2023,03/07/2023,2,Outdoor,Panel 1,PLATE2,Summer
A021,A001,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A022,A002,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A023,A003,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A024,A004,Outdoor,06/07/2023,04/08/2023,3,Outdoor,Panel 3,PLATE5,Summer
A025,A001,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A026,A002,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A027,A003,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A028,A004,Outdoor,25/09/2023,30/10/2023,4,Outdoor,Panel 3,PLATE5,Autumn
A029,A001,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A030,A002,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A031,A003,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A032,A004,Outdoor,12/12/2023,09/01/2024,5,Outdoor,Panel 3,PLATE5,Winter
A033,A001,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A034,A002,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A035,A003,Outdoor,08/02/2024,07/03/2024,,Outdoor,Panel 3,PLATE5,Winter
A036,A004,Outdoor,,,,Outdoor,,,
A037,A001,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A038,A002,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A039,A003,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A040,A004,Outdoor,25/03/2024,22/04/2024,,Outdoor,Panel 3,PLATE10,Spring
A041,A001,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A042,A002,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A043,A003,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
A044,A004,Outdoor,15/05/2024,13/06/2024,,Outdoor,Panel 3,PLATE10,Spring
