ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
WH058_1,WH058,Campaign 1,06/12/2023,03/01/2024,Group 6,Indoor,Panel 2,PLATE4,Winter
WH055_1,WH055,Campaign 1,06/03/2023,03/04/2023,Group 3,Indoor,Panel 1,PLATE4,Spring
WH101_1,WH101,Campaign 1,06/12/2023,04/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH075_1,WH075,Campaign 1,07/12/2023,05/01/2024,Group 6,Indoor,Panel 2,PLATE4,Winter
WH061_1,WH061,Campaign 1,04/09/2023,02/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH063_1,WH063,Campaign 1,04/09/2023,03/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH065_1,WH065,Campaign 1,04/09/2023,03/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH066_1,WH066,Campaign 1,05/09/2023,03/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH062_1,WH062,Campaign 1,06/09/2023,04/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH069_1,WH069,Campaign 1,06/09/2023,04/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH064_1,WH064,Campaign 1,08/09/2023,06/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH083_1,WH083,Campaign 1,30/10/2023,26/11/2023,Group 5,Indoor,Panel 2,PLATE5,Autumn
WH071_1,WH071,Campaign 1,08/09/2023,06/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH060_1,WH060,Campaign 1,08/09/2023,07/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH087_1,WH087,Campaign 1,30/10/2023,27/11/2023,Group 5,Indoor,Panel 2,PLATE5,Autumn
WH072_1,WH072,Campaign 1,11/09/2023,09/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH073_1,WH073,Campaign 1,11/09/2023,09/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH074_1,WH074,Campaign 1,12/09/2023,10/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
WH076_1,WH076,Campaign 1,12/09/2023,10/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH105_1,WH105,Campaign 1,08/12/2023,05/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH068_1,WH068,Campaign 1,11/09/2023,12/10/2023,Group 4,Indoor,Panel 2,PLATE4,Autumn
