Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.557,25.726,0.146,20000,,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.804,25.726,0.146,20000,,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.816,25.726,0.146,20000,,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.635,28.465,0.24,2000,,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.295,28.465,0.24,2000,,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,33.104,32.866,0.31,200,,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.978,32.866,0.31,200,,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.516,32.866,0.31,200,,
10,A10,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,38,37.537,0.434,20,,
11,A11,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.473,37.537,0.434,20,,
12,A12,FALSE,2x10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.139,37.537,0.434,20,,
14,B2,FALSE,WH063_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.683,30.831,0.21,860.624,792.348,96.556
15,B3,FALSE,WH063_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.98,30.831,0.21,724.073,792.348,96.556
16,B4,FALSE,WH064_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,39.558,39.379,0.253,4.928,5.498,0.807
17,B5,FALSE,WH064_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,39.2,39.379,0.253,6.068,5.498,0.807
19,B7,FALSE,WH065_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.203,31.296,0.407,636.094,613.526,138.691
20,B8,FALSE,WH065_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.944,31.296,0.407,739.548,613.526,138.691
21,B9,FALSE,WH065_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.741,31.296,0.407,464.935,613.526,138.691
22,B10,FALSE,WH066_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.162,35.008,0.482,63.544,71.414,20.956
23,B11,FALSE,WH066_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.468,35.008,0.482,95.166,71.414,20.956
24,B12,FALSE,WH066_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.394,35.008,0.482,55.532,71.414,20.956
25,C1,FALSE,WH067_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,34.975,35.202,0.204,70.845,62.377,7.551
26,C2,FALSE,WH067_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.369,35.202,0.204,56.344,62.377,7.551
27,C3,FALSE,WH067_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.263,35.202,0.204,59.942,62.377,7.551
28,C4,FALSE,WH068_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.822,31.896,0.105,443.698,425.292,26.029
30,C6,FALSE,WH068_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.971,31.896,0.105,406.887,425.292,26.029
31,C7,FALSE,WH069_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.269,36.632,0.388,33.383,27.486,6.042
32,C8,FALSE,WH069_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.585,36.632,0.388,27.769,27.486,6.042
33,C9,FALSE,WH069_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,37.041,36.632,0.388,21.308,27.486,6.042
