Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
1,A1,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,22.963,22.922,0.61,20000,20000,
2,A2,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,23.511,22.922,0.61,20000,20000,
3,A3,FALSE,2x10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,22.294,22.922,0.61,20000,20000,
4,A4,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.701,26.711,0.126,2000,2000,
5,A5,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.591,26.711,0.126,2000,2000,
6,A6,FALSE,2x10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,26.842,26.711,0.126,2000,2000,
7,A7,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.209,31.089,0.388,200,200,
8,A8,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,31.402,31.089,0.388,200,200,
9,A9,FALSE,2x10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,30.655,31.089,0.388,200,200,
10,A10,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,35.933,35.306,0.888,20,20,
12,A12,FALSE,2x10^1,FungiQuant,STANDARD,FAM,NFQ-MGB,34.678,35.306,0.888,20,20,
70,F10,FALSE,WH031_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.168,26.91,0.233,1750.472,2031.263,255.881
71,F11,FALSE,WH031_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.847,26.91,0.233,2092.02,2031.263,255.881
72,F12,FALSE,WH031_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.715,26.91,0.233,2251.297,2031.263,255.881
74,G2,FALSE,WH032_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.638,26.525,0.161,2348.86,2506.832,223.405
75,G3,FALSE,WH032_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,26.411,26.525,0.161,2664.803,2506.832,223.405
76,G4,FALSE,WH033_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.363,29.182,0.419,516.873,582.403,142.67
77,G5,FALSE,WH033_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.702,29.182,0.419,746.066,582.403,142.67
78,G6,FALSE,WH033_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.48,29.182,0.419,484.272,582.403,142.67
80,G8,FALSE,WH034_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.418,29.558,0.198,501.173,465.009,51.143
81,G9,FALSE,WH034_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.699,29.558,0.198,428.846,465.009,51.143
82,G10,FALSE,WH035_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.057,31.1,0.148,201.614,197.293,15.974
83,G11,FALSE,WH035_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.265,31.1,0.148,179.603,197.293,15.974
84,G12,FALSE,WH035_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.978,31.1,0.148,210.663,197.293,15.974
85,H1,FALSE,WH036_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.493,24.54,0.089,7737.987,7543.53,367.481
86,H2,FALSE,WH036_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.485,24.54,0.089,7772.922,7543.53,367.481
87,H3,FALSE,WH036_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.643,24.54,0.089,7119.679,7543.53,367.481
88,H4,FALSE,WH038_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.142,28.08,0.194,1018.736,1058.487,116.755
89,H5,FALSE,WH038_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,27.862,28.08,0.194,1189.928,1058.487,116.755
90,H6,FALSE,WH038_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,28.236,28.08,0.194,966.798,1058.487,116.755
91,H7,FALSE,WH040_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.541,25.178,0.378,4322.21,5367.239,1132.33
92,H8,FALSE,WH040_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,24.787,25.178,0.378,6570.274,5367.239,1132.33
93,H9,FALSE,WH040_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,25.205,25.178,0.378,5209.233,5367.239,1132.33
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
