Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD
2,A2,FALSE,Sx10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,25.081,24.9,0.255,20000,20000,
3,A3,FALSE,Sx10^4,FungiQuant,STANDARD,FAM,NFQ-MGB,24.719,24.9,0.255,20000,20000,
4,A4,FALSE,Sx10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.244,28.387,0.202,2000,2000,
5,A5,FALSE,Sx10^3,FungiQuant,STANDARD,FAM,NFQ-MGB,28.53,28.387,0.202,2000,2000,
8,A8,FALSE,Sx10^2,FungiQuant,STANDARD,FAM,NFQ-MGB,32.96,32.96,,200,200,
10,A10,FALSE,Sx10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.619,37.594,0.035,20,20,
12,A12,FALSE,Sx10,FungiQuant,STANDARD,FAM,NFQ-MGB,37.569,37.594,0.035,20,20,
14,B2,FALSE,PH10_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.995,31.091,0.136,627.453,596.56,43.689
15,B3,FALSE,PH10_1,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.187,31.091,0.136,565.667,596.56,43.689
16,B4,FALSE,PH01_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.353,33.075,0.394,176.072,206.879,43.567
18,B6,FALSE,PH01_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.796,33.075,0.394,237.685,206.879,43.567
19,B7,FALSE,PH02_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,38.337,38.423,0.122,12.008,11.476,0.752
21,B9,FALSE,PH02_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,38.509,38.423,0.122,10.944,11.476,0.752
22,B10,FALSE,PH03_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.334,33.231,0.331,177.899,190.144,35.007
23,B11,FALSE,PH03_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.86,33.231,0.331,229.629,190.144,35.007
24,B12,FALSE,PH03_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.498,33.231,0.331,162.905,190.144,35.007
25,C1,FALSE,PH04_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.515,35.918,0.377,54.944,44.825,9.265
26,C2,FALSE,PH04_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,36.261,35.918,0.377,36.76,44.825,9.265
27,C3,FALSE,PH04_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,35.979,35.918,0.377,42.77,44.825,9.265
28,C4,FALSE,PH05_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.442,32.67,0.252,287.696,255.976,34.069
29,C5,FALSE,PH05_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.94,32.67,0.252,219.965,255.976,34.069
30,C6,FALSE,PH05_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.628,32.67,0.252,260.267,255.976,34.069
31,C7,FALSE,PH06_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.896,33.646,0.228,131.442,151.121,18.108
32,C8,FALSE,PH06_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.592,33.646,0.228,154.84,151.121,18.108
33,C9,FALSE,PH06_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,33.451,33.646,0.228,167.081,151.121,18.108
34,C10,FALSE,PH07_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.935,31.102,0.235,647.881,594.699,75.21
36,C12,FALSE,PH07_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.268,31.102,0.235,541.518,594.699,75.21
37,D1,FALSE,PH08_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.672,32.682,0.143,254.213,253.256,19.399
38,D2,FALSE,PH08_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.83,32.682,0.143,233.396,253.256,19.399
39,D3,FALSE,PH08_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,32.545,32.682,0.143,272.158,253.256,19.399
40,D4,FALSE,PH09_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.866,31.062,0.22,672.59,607.798,70.819
41,D5,FALSE,PH09_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.021,31.062,0.22,618.608,607.798,70.819
42,D6,FALSE,PH09_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,31.3,31.062,0.22,532.195,607.798,70.819
43,D7,FALSE,PH10_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,30.147,29.807,0.307,990.773,1200.74,191.803
44,D8,FALSE,PH10_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.724,29.807,0.307,1244.701,1200.74,191.803
45,D9,FALSE,PH10_2,FungiQuant,UNKNOWN,FAM,NFQ-MGB,29.55,29.807,0.307,1366.746,1200.74,191.803
94,H10,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
95,H11,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
96,H12,FALSE,NTC,FungiQuant,NTC,FAM,NFQ-MGB,Undetermined,,,,,
